Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2024-09-16T20:08:55.208;142;1,6
2024-09-16T20:08:56.267;141;1,8
2024-09-16T20:08:57.254;140;1,7
2024-09-16T20:08:58.222;140;1,9
2024-09-16T20:08:59.283;140;1,9
2024-09-16T20:09:00.232;140;1,9
2024-09-16T20:09:01.212;141;1,9
2024-09-16T20:09:02.252;141;1,8
2024-09-16T20:09:03.223;141;1,6
2024-09-16T20:09:04.230;141;1,6
2024-09-16T20:09:05.310;141;1,6
2024-09-16T20:09:06.253;141;1,4
2024-09-16T20:09:07.222;142;1,4
2024-09-16T20:09:08.255;142;1,0
2024-09-16T20:09:09.226;142;1,0
2024-09-16T20:09:10.215;142;0,7
2024-09-16T20:09:11.299;142;0,7
2024-09-16T20:09:12.216;141;0,8
2024-09-16T20:09:13.231;141;0,8
2024-09-16T20:09:14.220;141;0,9
2024-09-16T20:09:15.256;140;0,8
2024-09-16T20:09:16.246;140;0,9
2024-09-16T20:09:17.211;141;1,0
2024-09-16T20:09:18.232;141;1,0
2024-09-16T20:09:19.220;141;1,0
2024-09-16T20:09:20.253;141;1,0
2024-09-16T20:09:21.218;141;1,0
2024-09-16T20:09:22.243;140;1,0
2024-09-16T20:09:23.223;140;1,1
2024-09-16T20:09:24.252;140;0,9
2024-09-16T20:09:25.313;140;0,9
2024-09-16T20:09:26.212;140;1,0
2024-09-16T20:09:27.230;141;0,9
2024-09-16T20:09:28.200;141;0,9
2024-09-16T20:09:29.234;141;0,9
2024-09-16T20:09:30.218;142;1,0
2024-09-16T20:09:31.231;143;1,2
2024-09-16T20:09:32.207;144;1,2
2024-09-16T20:09:33.327;144;1,2
2024-09-16T20:09:34.228;145;1,2
2024-09-16T20:09:35.326;145;1,2
2024-09-16T20:09:36.341;146;1,2
2024-09-16T20:09:37.261;146;1,2
2024-09-16T20:09:38.257;145;1,3
2024-09-16T20:09:39.219;145;1,5
2024-09-16T20:09:40.267;144;1,5
2024-09-16T20:09:41.269;142;1,6
2024-09-16T20:09:42.235;142;1,6
2024-09-16T20:09:43.226;141;1,6
2024-09-16T20:09:44.217;141;1,5
2024-09-16T20:09:45.249;141;1,5
2024-09-16T20:09:46.280;141;1,4
2024-09-16T20:09:47.238;141;1,4
2024-09-16T20:09:48.308;141;1,4
2024-09-16T20:09:49.207;140;1,4
2024-09-16T20:09:50.226;140;1,2
2024-09-16T20:09:51.236;139;1,1
2024-09-16T20:09:52.223;139;1,1
2024-09-16T20:09:53.213;138;0,8
2024-09-16T20:09:54.205;138;0,9
